Country,Year,Description
Australia,2000,Sydney hosts the Summer Olympics. Introduction of the Goods and Services Tax (GST).
Australia,2001,"""Tampa Affair"" (asylum seekers) becomes a major political issue. Ansett Australia collapses. Australia joins the war in Afghanistan post-9/11."
Australia,2002,"Bali Bombings directly impact many Australians, leading to national grief and heightened security concerns."
Australia,2003,Australia joins the US-led invasion of Iraq. SARS outbreak causes global concern.
Australia,2004,Howard Coalition government re-elected. Boxing Day Tsunami devastates parts of Asia; Australia launches a significant aid response.
Australia,2005,Cronulla Riots highlight racial tensions. London bombings affect Australians.
Australia,2006,Beaconsfield mine collapse captures national attention. Debate over WorkChoices industrial relations laws.
Australia,2007,"Kevin Rudd's Labor party wins federal election, ending 11 years of Coalition rule. Global Financial Crisis (GFC) begins to unfold internationally."
Australia,2008,"National Apology to the Stolen Generations. Australia implements significant economic stimulus packages to combat the GFC, largely avoiding a recession."
Australia,2009,"""Black Saturday"" bushfires in Victoria cause widespread devastation and loss of life. Swine Flu (H1N1) pandemic."
Australia,2010,Julia Gillard becomes Australia's first female Prime Minister. A federal election results in a hung parliament and minority Labor government.
Australia,2011,Severe flooding in Queensland and other parts of Eastern Australia. Carbon pricing mechanism debated.
Australia,2012,Carbon Tax implemented. Plain packaging for tobacco products introduced (a significant public health measure).
Australia,2013,Tony Abbott's Coalition wins the federal election. Process to repeal the Carbon Tax begins.
Australia,2014,Repeal of the Carbon Tax. MH370 and MH17 air disasters deeply affect Australia. Lindt Cafe siege in Sydney.
Australia,2015,Malcolm Turnbull ousts Tony Abbott to become Prime Minister.
Australia,2016,Turnbull government narrowly re-elected. Debate around a plebiscite on same-sex marriage.
Australia,2017,"National postal survey results in a ""Yes"" vote for same-sex marriage, leading to legislative change. Parliamentary citizenship crisis."
Australia,2018,"Scott Morrison becomes Prime Minister after ousting Malcolm Turnbull. Royal Commission into Misconduct in the Banking, Superannuation and Financial Services Industry."
Australia,2019,"Morrison Coalition government wins federal election (considered a surprise). ""Black Summer"" bushfires begin towards the end of the year, escalating into a national crisis."
Australia,2020,"COVID-19 pandemic declared. Widespread lockdowns, border closures, significant economic impact, and health system strain. Black Summer bushfires continue into early 2020."
Australia,2021,Continued COVID-19 pandemic with various state lockdowns and staged vaccine rollouts.
Australia,2022,"Shift towards ""living with COVID."" Labor party under Anthony Albanese wins the federal election. Significant flooding events in Eastern Australia."
Germany,2000,"Chancellor Gerhard Schröder's ""Agenda 2010"" reforms (focused on labor market and welfare) are being developed, aiming to boost the economy. Preparations for Euro currency introduction."
Germany,2001,Global impact of 9/11; Germany pledges solidarity and participates in international anti-terrorism efforts.
Germany,2002,"Euro currency officially introduced. Schröder's SPD/Green coalition narrowly wins re-election, partly due to his opposition to the Iraq War. Major Elbe river floods."
Germany,2003,"""Agenda 2010"" reforms, including Hartz labor market reforms, begin to be implemented, leading to significant social debate."
Germany,2004,"EU eastward expansion; Germany sees increased labor mobility. Hartz IV welfare reforms come into effect, causing protests."
Germany,2005,"Angela Merkel (CDU) becomes Chancellor, forming a Grand Coalition with the SPD."
Germany,2006,"Germany hosts the FIFA World Cup, leading to a positive national mood (""Sommermärchen"" - summer fairytale)."
Germany,2007,Germany holds G8 presidency. Global Financial Crisis (GFC) begins to unfold internationally.
Germany,2008,"Impact of the GFC hits Germany; government implements bank bailouts and economic stimulus packages (""Kurzarbeit"" short-time work scheme helps prevent mass layoffs)."
Germany,2009,"Merkel's CDU/CSU wins federal election, forming a coalition with the FDP. Eurozone debt crisis begins to emerge."
Germany,2010,"Eurozone debt crisis intensifies, with Germany playing a key role in bailout packages for countries like Greece."
Germany,2011,"Following the Fukushima disaster in Japan, Germany accelerates its plan to phase out nuclear power (""Atomausstieg""). EHEC bacterial outbreak."
Germany,2012,Eurozone crisis continues to dominate; Germany champions austerity measures.
Germany,2013,"Merkel wins a third term as Chancellor, forming another Grand Coalition with the SPD."
Germany,2014,Ukraine crisis and Russian annexation of Crimea. Germany wins the FIFA World Cup in Brazil.
Germany,2015,"Major European refugee crisis; Merkel declares ""Wir schaffen das"" (""We can do this""), leading to a large influx of asylum seekers into Germany."
